x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
15964,1061,32397,1,1,1,1,1,11
15882,250,32792,1,1,1,1,1,7
18223,389,33590,1,1,1,1,1,8
18512,1562,34051,1,1,1,1,1,26
17995,1013,33865,1,1,1,1,1,12
17843,1485,34682,1,1,1,1,1,16
17810,1345,35006,1,1,1,1,1,1
17757,1257,34916,1,1,1,1,1,47
18267,2072,34917,1,1,1,1,1,14
19500,3028,35294,1,1,1,1,1,28
19818,2920,34576,1,1,1,1,1,29
19705,2516,34515,1,1,1,1,1,10
19808,2983,34418,1,1,1,1,1,10
21444,979,35340,1,1,1,1,1,11
21226,3042,34497,1,1,1,1,1,10
22703,773,35751,1,1,1,1,1,15
22455,981,35538,1,1,1,1,1,25
22442,2493,36023,1,1,1,1,1,4
24537,5283,36890,1,1,1,1,1,53
24066,5198,36821,1,1,1,1,1,31
24102,5224,36692,1,1,1,1,1,23
23926,5323,36760,1,1,1,1,1,19
24525,5263,36867,1,1,1,1,1,42
24322,5138,36792,1,1,1,1,1,9
24087,6156,36764,1,1,1,1,1,14
23965,4893,36362,1,1,1,1,1,5
23338,5329,36057,1,1,1,1,1,20
22656,5763,36328,1,1,1,1,1,11
23054,5527,36297,1,1,1,1,1,11
22244,5766,36616,1,1,1,1,1,26
21990,5907,36839,1,1,1,1,1,20
24207,4912,35810,1,1,1,1,1,24
22743,3768,34397,1,1,1,1,1,5
23260,4637,35662,1,1,1,1,1,42
23423,4208,35700,1,1,1,1,1,11
21912,4075,34557,1,1,1,1,1,15
21891,4034,34759,1,1,1,1,1,6
21978,4096,34613,1,1,1,1,1,8
22484,3922,34560,1,1,1,1,1,49
22295,3370,34533,1,1,1,1,1,22
22458,3772,34350,1,1,1,1,1,20
22442,3148,34529,1,1,1,1,1,18
22417,3551,34594,1,1,1,1,1,14
21220,3774,34405,1,1,1,1,1,17
21728,3427,35148,1,1,1,1,1,13
21151,4012,34442,1,1,1,1,1,21
21416,4107,34728,1,1,1,1,1,11
20897,3740,34529,1,1,1,1,1,49
20589,3476,34379,1,1,1,1,1,20
21605,4651,35231,1,1,1,1,1,10
21536,5908,37098,1,1,1,1,1,12
21856,5858,36757,1,1,1,1,1,15
20409,4739,35591,1,1,1,1,1,8
21660,5661,35842,1,1,1,1,1,35
19734,6211,35319,1,1,1,1,1,46
20163,6189,35569,1,1,1,1,1,11
20209,5845,36703,1,1,1,1,1,10
19178,4925,37218,1,1,1,1,1,24
19169,4921,36784,1,1,1,1,1,11
19369,5301,36886,1,1,1,1,1,47
19258,5285,36477,1,1,1,1,1,27
19025,3850,36268,1,1,1,1,1,15
19308,3488,35292,1,1,1,1,1,16
19216,4224,35276,1,1,1,1,1,4
19229,3321,34029,1,1,1,1,1,12
20188,3690,34267,1,1,1,1,1,53
18998,3388,32273,1,1,1,1,1,8
18954,4838,31900,1,1,1,1,1,16
19091,6223,31947,1,1,1,1,1,21
19312,6132,32213,1,1,1,1,1,40
19399,6277,32543,1,1,1,1,1,43
19279,5844,32196,1,1,1,1,1,30
19436,6131,32441,1,1,1,1,1,30
19358,6171,32226,1,1,1,1,1,38
19403,6262,32372,1,1,1,1,1,25
19577,6024,32488,1,1,1,1,1,10
